iter	Passed	Remaining
0	157	157110
1	158	78975
2	158	52813
3	159	39745
4	160	31879
5	160	26631
6	161	22888
7	161	20084
8	162	17893
9	163	16146
10	163	14718
11	164	13530
12	165	12535
13	165	11678
14	166	10927
15	167	10271
16	167	9690
17	168	9173
18	168	8714
19	169	8304
20	170	7929
21	170	7586
22	171	7275
23	171	6989
24	172	6725
25	172	6480
26	173	6251
27	174	6041
28	174	5847
29	175	5663
30	175	5492
31	176	5332
32	176	5181
33	177	5039
34	177	4906
35	178	4780
36	179	4661
37	180	4557
38	180	4457
39	181	4364
40	182	4276
41	183	4186
42	184	4100
43	184	4017
44	185	3937
45	186	3858
46	186	3785
47	187	3716
48	187	3647
49	188	3582
50	189	3520
51	189	3459
52	190	3400
53	190	3343
54	191	3288
55	191	3235
56	192	3186
57	193	3138
58	193	3092
59	194	3050
60	195	3007
61	196	2965
62	196	2927
63	197	2889
64	198	2851
65	198	2813
66	199	2776
67	200	2741
68	200	2706
69	201	2672
70	201	2639
71	202	2607
72	202	2576
73	203	2546
74	204	2516
75	204	2487
76	205	2460
77	205	2432
78	206	2405
79	206	2379
80	207	2353
81	208	2329
82	208	2301
83	208	2278
84	209	2258
85	210	2238
86	211	2217
87	212	2199
88	212	2179
89	213	2158
90	214	2139
91	214	2120
92	215	2101
93	216	2083
94	216	2064
95	217	2046
96	217	2028
97	218	2009
98	218	1991
99	219	1975
100	220	1958
101	220	1943
102	221	1927
103	221	1911
104	222	1896
105	223	1884
106	224	1870
107	224	1857
108	225	1844
109	226	1831
110	226	1817
111	227	1804
112	228	1792
113	228	1779
114	229	1765
115	230	1753
116	230	1739
117	230	1726
118	231	1713
119	232	1703
120	232	1692
121	233	1682
122	234	1670
123	234	1659
124	235	1648
125	235	1636
126	236	1625
127	237	1614
128	237	1603
129	238	1593
130	238	1584
131	239	1576
132	240	1567
133	241	1558
134	241	1550
135	242	1541
136	243	1531
137	243	1522
138	244	1513
139	244	1504
140	245	1495
141	245	1485
142	246	1476
143	246	1467
144	247	1458
145	247	1450
146	248	1441
147	248	1432
148	249	1425
149	250	1417
