iter	RMSE
0	14.57957486
1	14.16054735
2	13.78333331
3	13.38866518
4	13.03064204
5	12.64645674
6	12.29759863
7	11.97063561
8	11.64033988
9	11.30630796
10	10.99084538
11	10.70946452
12	10.40910445
13	10.13277675
14	9.874405565
15	9.60434218
16	9.367090841
17	9.128500312
18	8.919835726
19	8.719313717
20	8.504013796
21	8.298391785
22	8.131393213
23	7.972059753
24	7.790162548
25	7.639584214
26	7.480163179
27	7.310096069
28	7.158886645
29	7.007970377
30	6.867685664
31	6.717607758
32	6.575119804
33	6.442585311
34	6.329355133
35	6.223398954
36	6.114788279
37	5.997677254
38	5.898197295
39	5.803227679
40	5.710411367
41	5.622824127
42	5.541434064
43	5.462558116
44	5.388153452
45	5.306824519
46	5.237652937
47	5.173911424
48	5.100540776
49	5.030127794
50	4.964819556
51	4.906036418
52	4.8499548
53	4.805297385
54	4.751466619
55	4.704572804
56	4.656724405
57	4.613406681
58	4.58018873
59	4.534247822
60	4.495812361
61	4.45531204
62	4.420941113
63	4.390368967
64	4.355734416
65	4.322504721
66	4.287115075
67	4.250347682
68	4.220313403
69	4.194859421
70	4.167944012
71	4.141182658
72	4.117047068
73	4.089452211
74	4.064555522
75	4.03879791
76	4.013514795
77	3.987955656
78	3.964403609
79	3.943871057
80	3.923660624
81	3.906292119
82	3.89077926
83	3.87671943
84	3.859510351
85	3.845418707
86	3.829682746
87	3.820245791
88	3.807693822
89	3.786601919
90	3.770680157
91	3.757672388
92	3.740824257
93	3.727052169
94	3.7143391
95	3.697403869
96	3.682310846
97	3.671109534
98	3.656927711
99	3.646569006
100	3.635621066
101	3.624199344
102	3.611627457
103	3.598909265
104	3.587099059
105	3.572062903
106	3.565720122
107	3.555982449
108	3.544674122
109	3.539574348
110	3.530659951
111	3.521168955
112	3.509450503
113	3.498621761
114	3.487948985
115	3.481372665
116	3.471261938
117	3.462513642
118	3.454717671
119	3.449883958
120	3.44518357
121	3.439134446
122	3.429693091
123	3.423856253
124	3.41469362
125	3.406045704
126	3.399213186
127	3.38920009
128	3.380708368
129	3.375861548
130	3.36841775
131	3.362332385
132	3.352711052
133	3.344173059
134	3.336734623
135	3.328680439
136	3.321374616
137	3.315823159
138	3.305656576
139	3.29866059
140	3.290315075
141	3.28267335
142	3.274806537
143	3.270758127
144	3.261944728
145	3.255147755
146	3.248149033
147	3.239090188
148	3.23604938
149	3.232101766
150	3.22541339
151	3.216895888
152	3.20783084
153	3.203240253
154	3.195688349
155	3.187357641
156	3.179512723
157	3.175949914
158	3.171957591
159	3.165190323
160	3.158578745
161	3.154986859
162	3.146209845
163	3.142208237
164	3.136506798
165	3.129659074
166	3.121349876
167	3.115780271
168	3.111490163
169	3.107508198
170	3.099497659
171	3.095138362
172	3.089004933
173	3.083438601
174	3.08052175
175	3.072946483
176	3.065039829
177	3.063244131
178	3.057441425
179	3.056310027
180	3.051760854
181	3.046853523
182	3.041240396
183	3.040399231
184	3.03217799
185	3.02685388
186	3.024282988
187	3.022044243
188	3.014521537
189	3.012125583
190	3.004285622
191	2.999996016
192	2.995639379
193	2.989480892
194	2.985556679
195	2.980556889
196	2.978296586
197	2.970388204
198	2.964564422
199	2.962224908
200	2.957491855
201	2.951237546
202	2.946764295
203	2.944582489
204	2.933926688
205	2.928969081
206	2.922611337
207	2.913440135
208	2.911241403
209	2.907923371
210	2.902727162
211	2.90170952
212	2.899811864
213	2.895422131
214	2.886461954
215	2.877497448
216	2.87303061
217	2.869150289
218	2.860608199
219	2.851481808
220	2.843858807
221	2.840192451
222	2.833919773
223	2.832024584
224	2.827123828
225	2.818546691
226	2.814331068
227	2.808016274
228	2.802698281
229	2.800166622
230	2.792592977
231	2.788674961
232	2.785446577
233	2.776978192
234	2.774614596
235	2.771256164
236	2.764265485
237	2.758523409
238	2.753209557
239	2.748455544
240	2.738853964
241	2.735324498
242	2.732228761
243	2.728528481
244	2.725264809
245	2.720422247
246	2.717237209
247	2.716476961
248	2.714487031
249	2.713045114
250	2.705777912
251	2.69795734
252	2.692724873
253	2.689675004
254	2.682509805
255	2.672986011
256	2.667095174
257	2.660101027
258	2.655699459
259	2.649008843
260	2.646207674
261	2.635628971
262	2.633652704
263	2.631638026
264	2.626006228
265	2.615197507
266	2.608622221
267	2.6057612
268	2.599490784
269	2.597346974
270	2.591021518
271	2.584535674
272	2.582257113
273	2.578391023
274	2.571244211
275	2.563273073
276	2.555708901
277	2.553090709
278	2.547788108
279	2.541718016
280	2.534840546
281	2.527751215
282	2.521261007
283	2.515212638
284	2.510320275
285	2.507472215
286	2.505916866
287	2.500210384
288	2.494475168
289	2.491320702
290	2.486936309
291	2.48004586
292	2.477234816
293	2.470541628
294	2.46730915
295	2.459826361
296	2.456129083
297	2.448583419
298	2.441001723
299	2.438125839
300	2.434524862
301	2.432458177
302	2.429844464
303	2.424536287
304	2.417214964
305	2.412077537
306	2.409666792
307	2.407228284
308	2.403406718
309	2.397471692
310	2.395617153
311	2.389752894
312	2.384881072
313	2.380133862
314	2.376572327
315	2.373875962
316	2.367277446
317	2.361542506
318	2.356097985
319	2.350002118
320	2.3467522
321	2.344860982
322	2.342506034
323	2.337400102
324	2.334904976
325	2.333665393
326	2.330164525
327	2.327702047
328	2.32593758
329	2.320049024
330	2.314587971
331	2.312711321
332	2.306971362
333	2.302524701
334	2.301030086
335	2.295075205
336	2.289504514
337	2.282484794
338	2.277884494
339	2.274354419
340	2.271043224
341	2.268523681
342	2.266839761
343	2.261540383
344	2.256544248
345	2.253606179
346	2.252447991
347	2.247371991
348	2.244243282
349	2.243100783
350	2.238541695
351	2.236329547
352	2.233711317
353	2.229551804
354	2.22543664
355	2.21981698
356	2.218439717
357	2.212775842
358	2.207988224
359	2.205652143
360	2.202459808
361	2.201133762
362	2.19595652
363	2.194675428
364	2.190038742
365	2.183110299
366	2.180726645
367	2.176363748
368	2.172957966
369	2.171550699
370	2.166447723
371	2.16004166
372	2.153305591
373	2.148522609
374	2.147306068
375	2.141660724
376	2.138256887
377	2.135916574
378	2.133580729
379	2.132350886
380	2.13123285
381	2.128927003
382	2.125188137
383	2.121085728
384	2.11596285
385	2.111109407
386	2.109815479
387	2.103803445
388	2.102626792
389	2.09561695
390	2.092882324
391	2.090505483
392	2.088174111
393	2.087367122
394	2.081269026
395	2.077590995
396	2.074668026
397	2.070189155
398	2.068011735
399	2.064089656
400	2.058338351
401	2.056350426
402	2.055890103
403	2.050832969
404	2.048825815
405	2.043829313
406	2.039210097
407	2.038233905
408	2.034377241
409	2.031887478
410	2.03025722
411	2.026850217
412	2.024759353
413	2.020964991
414	2.016964175
415	2.01227107
416	2.006639482
417	2.0037399
418	1.998888041
419	1.994948934
420	1.992734311
421	1.989993834
422	1.986267177
423	1.983219338
424	1.981624275
425	1.979866416
426	1.978525215
427	1.973054291
428	1.972056999
429	1.96698048
430	1.965115151
431	1.963364455
432	1.961974611
433	1.9584115
434	1.952719902
435	1.951821
436	1.948590913
437	1.944063166
438	1.94162528
439	1.938947415
440	1.93619993
441	1.93351756
442	1.932354976
443	1.92830393
444	1.924737676
445	1.918795194
446	1.913797681
447	1.911518181
448	1.907153625
449	1.904167949
450	1.899332274
451	1.895307471
452	1.891783378
453	1.889172074
454	1.885393496
455	1.883651852
456	1.879951898
457	1.878662122
458	1.876569165
459	1.873405552
460	1.870445222
461	1.867336359
462	1.865414983
463	1.864279227
464	1.863485
465	1.862102569
466	1.85986313
467	1.859146299
468	1.857598148
469	1.852951999
470	1.848589941
471	1.845115676
472	1.843645142
473	1.839350415
474	1.838429709
